Tipología cliente	Nombre cliente	cli_rao	Dirección Cliente	Ciudad/poblacion	ZIP	Tipología cliente ok
VARIOS	PIANO PIANO BCN S.L.	PIADINA & PIZZA	000  - PIADINA & PIZZA - PLAÇA DE LA VILA DE GRÀCIA, 7 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	PIZU BARCELONETA, S.L.	PIZZERIA NAPOLETANA	000  - PIZZERIA NAPOLETANA - C/ DE MEER, 52-54 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	JAMAL HADULI	PIZZERIA LA GROTTA	000  - PIZZERIA LA GROTTA - C/ SANT PERE, 1 - SITGES	SITGES	08870	PIZZERIA/RESTAURANTE
VARIOS	PRODUCTES TONENCS, S.L.	PRODUCTES TONENCS, S.L.	000  - PRODUCTES TONENCS, S.L. - POLÍGON INDUSTRIAL LA GAVARRA - CENTELLES	CENTELLES	08540	DISTRIBUIDOR
VARIOS	LA PLACITA BCN, S.C.P.	LA PLACITA BCN	000  - LA PLACITA BCN - C/ TANTARANTANA, 20 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	EXPRESIONES DE AUTOR, S.L.	EXPRESIONES DE AUTOR, S.L.	000  - EXPRESIONES DE AUTOR, S.L. - C/ ALCOLEA, 86 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	AL PASSATORE	AL PASSATORE	002  - AL PASSATORE PALAU, 11 - PLA DE PALAU, 11 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	JAUME MARTINEZ GURT	JAUME MARTINEZ GURT	000  - JAUME MARTINEZ GURT -  - MANLLEU	MANLLEU	08560	PARTICULARES
VARIOS	PIZZA PRIMA, S.L.	PIZZA PRIMA, S.L.	000  - PIZZA PRIMA, S.L. - C/ TORRENT D'EN PREGARIA, 25 LOZAL - Mataró	Mataró	08301	PIZZERIA/RESTAURANTE
VARIOS	MARI LAI MARTINEZ	PASTA DA MARIO	000  - PASTA DA MARIO - C/ DE GRÀCIA, 146 - Sabadell	Sabadell	08205	PIZZERIA/RESTAURANTE
VARIOS	MONTELLO	MONTELLO	000  - MONTELLO - VIA LAYETANA, 42 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA MIMANGI  GOOD FOOD	PIZZERIA MIMANGI  GOOD FOOD	001  - PIZZERIA MIMANGI GOOD FOOD ONDARA - CTRO  CIAL PORTAL DE LA MARINA, LC9 - ONDARA	ONDARA	03760	PIZZERIA/RESTAURANTE
VARIOS	MA' CHE BONTA'	MA' CHE BONTA'	000  - MA' CHE BONTA' - RAMBLA VELLA, 26 - Tarragona	Tarragona	43001	PIZZERIA/RESTAURANTE
VARIOS	CENTRAL CÁRNICAS Y CURADOS, S,.L.	CENTRAL CÁRNICAS Y CURADOS, S.L.	000  - CENTRAL CÁRNICAS Y CURADOS, S.L. - C/ ESLA, 60 (nau blava) - Terrassa	Terrassa	08223	PIZZERIA/RESTAURANTE
VARIOS	CINDERELLA	CINDERELLA	000  - CINDERELLA - C/ MARQUÈS DE SENTMENAT, 60 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	LA FABRICA	LA FABRICA	000  - LA FABRICA - PLAÇA DELA LLANA, 15 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	MANDARROSSO PASTIS, S.L.	MANDARROSSO PASTIS	000  - MANDARROSSO PASTIS - C/ GENERAL ALVAREZ DE CASTRO, 5-7 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	MARINA 26, S.L.	LA TABERNA GALLEGA DE L'ESCALA	000  - LA TABERNA GALLEGA DE L'ESCALA - C/ GRÀCIA, 77 - L'ESCALA	ESCALA	17130	PIZZERIA/RESTAURANTE
VARIOS	GIUSTO JEAN	PIZZERIA DA LORENZO	000  - PIZZERIA DA LORENZO - C/ JUAN SEBASTIAN ELCANO - MATARÓ	Mataró	08301	PIZZERIA/RESTAURANTE
VARIOS	DOLCI PAROLE, S.L.	DOLCI PAROLE	000  - DOLCI PAROLE - CONCELL DE CENT, 329 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	NICOLAS COULTURE	EL LOCAL PANAM 75	000  - EL LOCAL PANAM 75 - CONSELL DE CENT, 281 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	VILANOVA AL TAGLIO	PIZZA NOVA	000  - PIZZA NOVA - ESCOLAPIS, 2 - VILANOVA I LA GELTRU	Vilanova I la Gel Tru	08800	PIZZERIA/RESTAURANTE
VARIOS	VERY ITALIAN PIZZA, S.L.	VIP	000  - VIP - C/ MARIA CUBI, 179 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	LITTLE KULALA, S.L.	LA FERMATA	002  - LA FERMATA DE PROVENÇA - CARRER DE PROVENÇA, 243 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	2R RESTAURACIÓ, S.L.	2R RESTAURACIÓ S.L.	000  - 2R RESTAURACIÓ S.L. - CARRER DE LA FONT, 5 - Reus	Reus	43202	PIZZERIA/RESTAURANTE
VARIOS	XAVIER DURAN VILAGELIU	PIZZERIA TERRACOTA	000  - PIZZERIA TERRACOTA - C/ JOVARA, 75 - CALELLA	CALELLA	08370	PIZZERIA/RESTAURANTE
