Tipología cliente	Nombre cliente	cli_rao	Dirección Cliente	Ciudad/poblacion	ZIP	Tipología cliente ok
VARIOS	HITSEIN		000  -  -  -	BARCELONA	08006	quitar
DISTRIBUIDORS	COMERCIAL TILMAD, S.L.	COMERCIAL TILMAD, S.L.	000  - COMERCIAL TILMAD, S.L. - C/NAPOLS, 323 - BARCELONA	BARCELONA	08006	DISTRIBUIDOR
DISTRIBUIDORS	LACTICS COLOM, S.L.U.	LACTICS COLOM, S.L.U	000  - LACTICS COLOM, S.L.U - PLAÇA TETUAN, 33 - BARCELONA	BARCELONA	08006	DISTRIBUIDOR
DISTRIBUIDORS	COMERCIAL BASTIDA S.L	BASTIDA FOOD SERVICE	000  - BASTIDA FOOD SERVICE - CARRER DEL MOLI, 18 - RIPOLLET	RIPOLLET	08291	DISTRIBUIDOR
PIZZERIES/REST.	PIZZERIA MATADEPERA, SL	PIZZERIA ANGIE	000  - PIZZERIA ANGIE - C/SANT JOAN, 66 - MATADEPERA	MATADEPERA	08230	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	TUTTO FORMATGE, S.L.	TUTTO FORMATGE, S.L.	000  - TUTTO FORMATGE, S.L. - C/ ANDREU VIDAL, 40 - ST. ADRIA DEL BESOS	SANT ADRIÀ DEL BESÓS	08930	DISTRIBUIDOR
PIZZERIES/REST.	DOLCEVITA, SCP	DOLCEVITA, S.C.P.	000  - DOLCEVITA, S.C.P. - MASIA CAN BARRUSCA,KM.9.9 CTRA.B300 - LA MOLSOSA	MOLSOSA	08280	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	SERVI-CIRE I, S.L.	LA COSA NOSTRA BONA TECA-SERVI-CIRE	004  - SERVI-CIRE - AV. DE LA CERDANYA - CERVERA	CERVERA	25200	DISTRIBUIDOR
PIZZERIES/REST.	LA NIT DE LLINARS, SL	LA NIT DE LLINARS, SL	000  - LA NIT DE LLINARS, SL - C/MAJOR N.30 - LLINARS DEL VALLES	LLINARS DEL VALLES	08450	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	ATLÀNTIDA 2,  S.A	ATLANTIDA  2 SA	000  - ATLANTIDA  2 SA - AVDA.DE CARLES III 48-54 - VILASSAR DE MAR	VILASSAR DE MAR	08340	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	BOCREP, S.L	BOCREP, S.L	000  - BOCREP, S.L - MAESTRO FALLA, 52 P.I.JORDI CAMP - GRANOLLERS	GRANOLLERS	08402	DISTRIBUIDOR
PIZZERIES/REST.	ISLAM NASIR-UDDIN MD AWAL	PIZZERIA BURGER	000  - PIZZERIA BURGER - C/VILADOMAT, 104 - BARCELONA	BARCELONA	08006	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	DISTRIBUCIONES NESPIT, S.L	DISTRIBUCIONES NESPIT, S.L	003  - DISTRIBUCIONS NESPIT (ALEXANDRE DE LABOR - ALEXANDRE DE LABORDE, 3 NAU 1 - Palma de Mallorca	Mallorca	07501	DISTRIBUIDOR
PIZZERIES/REST.	PIZZERIA MEZZA LUNA SCP	PIZZERIA MEZZA LUNA SCP	000  - PIZZERIA MEZZA LUNA SCP - C/ FOMENT , 2 - GRANOLLERS	GRANOLLERS	08402	PIZZERIA/RESTAURANTE
VARIOS	DISFLOVE, S.L	DISFLOVE, S.L	000  - DISFLOVE, S.L - C/ROCABRUNA, 27 - RIPOLLET	RIPOLLET	08291	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	PIZZERIA L'ALBERO DEGLI ZOCCOLI, SL	PIZZERIA PORTA NUOVA	000  - PIZZERIA PORTA NUOVA - ENRIC GRANADOS, 97 LOCAL 3 - PREMIÀ DE MAR	PREMIÀ DE MAR	08320	PIZZERIA/RESTAURANTE
VARIOS	COMIDA ROMANA S.L.	PIZZERIA GUSTO DEL BORN	000  - PIZZERIA GUSTO DEL BORN - PASSEIG DEL BORN, 16 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	PASTA LUEGO S.L.	PASTA LUEGO	000  - PASTA LUEGO - C. CASANOVA 197 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	TORRE ROSSA S.L.	PIZZERIA TORRE ROSSA	000  - PIZZERIA TORRE ROSSA - PLAÇA AMADEU BORRAS, 6 - CARDEDEU	CARDEDEU	08440	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	BON REBOST FAMILIA COLOMAR S.L.	BON REBOST FAMILIA COLOMAR S.L.	000  - BON REBOST FAMILIA COLOMAR S.L. - C. NARD , 20 BAIXOS - SANT JORDI DE SES SALINES- EIVISSA	EIVISSA	07800	DISTRIBUIDOR
VARIOS	BOTIGA DE LA PIZZA, S.L.	PIZZERIA DA GIORGIO	000  - PIZZERIA DA GIORGIO - AVDA. DE L'ESTATUT, 229-231 - RUBI	RUBI	08191	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	 SACCARDI BARBARA	LA PIZZA 769	000  - LA PIZZA 769 - C. PENEDES, 7 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	MASCALZONE S.L.U	PIZZERIA LA LOCANDA	000  - PIZZERIA LA LOCANDA - AVDA. JOAN CARLES I, 6 - EMPURIABRAVA	EMPURIABRAVA	17486	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	PIZZERIA MARECHIARO	PIZZERIA MARECHIARO	000  - PIZZERIA MARECHIARO - C/  JOSEP SABATÉ I CALDERÓ, 12 - ROSES	ROSES	17480	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	COZZOLINO FRANCESCO	LA BELLA CALABRIA	000  - LA BELLA CALABRIA - C/ CAN MOLLET, 30 - MOLLET DEL VALLES	MOLLET DEL VALLES	08100	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	INICIATIVAS REINI  SL	INICIATIVAS  REINI  SL	000  - INICIATIVAS  REINI  SL - C. ESLA 60 - Terrassa	Terrassa	08223	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	GUTIERREZ LAZARO ARACELI DEL PILAR	DON VITO	000  - DON VITO - C EQUADOR 25 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	RESTAURANTE EL CAPRICCIO NAPOLETANO	RESTAURANTE IL CAPRICCIO NAPOLETANO	000  - RESTAURANTE IL CAPRICCIO NAPOLETANO - C. NAVAS DE TOLOSA, 283-287 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	BUENAS MIGAS S.L.	BUENAS MIGAS	000  - BUENAS MIGAS - C. SANT JOSEP, 120 - SANT FELIU DE LLOBREGAT	SANT FELIU DE LLOBREGAT	08980	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	FISORSE S.L.	PIZZERIA VERDI	000  - PIZZERIA VERDI - Rambla Sabadell  109 - Sabadell	Sabadell	08205	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	EL CELLER D'EN JOAN, S.L.	EL CELLER D'EN JOAN, S.L.	000  - EL CELLER D'EN JOAN, S.L. - C/VERDAGUER, 48 - HOSTALETS DE BALENYA	HOSTALETS DE BALENYA	08550	DISTRIBUIDOR
PIZZERIES/REST.	 GABALDA TORRENTE JORDI	L'IMMORAL	000  - L'IMMORAL - CARRER ADVOCAT CIRERA, 28 - Sabadell	Sabadell	08205	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	TOMAS GOMEZ BARRASO	SERVIAL	000  - SERVIAL - C. GURDAGULLA, 2 - FRANQUESES DEL VALLES, LES	LES FRANQUESES DEL VALLES	08520	DISTRIBUIDOR
PIZZERIES/REST.	KEBAB	KEBAB	000  - KEBAB - RAMBLA DE FONDA, 38 - Santa Coloma de Gramanet	SANTA COLOMA DE GARMANET	08920	PIZZERIA/RESTAURANTE
VARIOS	SELECT DISTRICT	PASTA SELECTA	000  - PASTA SELECTA - C. PONENT, 26 - CARDEDEU	CARDEDEU	08440	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA AMARCORD	PIZZERIA AMARCORD	000  - PIZZERIA AMARCORD - C. RERA. CC. DOMENEC, 3 BAIXOS - Tarragona	Tarragona	43001	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA DAL NONNO	PIZZERIA DAL NONNO	000  - PIZZERIA DAL NONNO - AVDA. CONSTITUCION, 60 - CASTELLDEFELS	CASTELLDEFELS	08860	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA L'ITALIANA	PIZZERIA L'ITALIANA	000  - PIZZERIA L'ITALIANA - PARANDIU, 8 - LLANÇA	LLANÇA	17490	PIZZERIA/RESTAURANTE
VARIOS	LA NOSTRA ISOLA, S.C.P.	LA NOSTRA ISOLA	000  - LA NOSTRA ISOLA - C. LLEIDA, 27 - MONTCADA I REIXAC	MONTCADA I REIXAC	08110	PIZZERIA/RESTAURANTE
VARIOS	PIZZA TAURA	PIZZA TAURA CAMBRILS	000  - PIZZA TAURA CAMBRILS - RAMBLA JAUME I, 34 - CAMBRILS	CAMBRILS	43850	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	IL DUOMO E LA MOLE	IL DUOMO E LA MOLE	000  - IL DUOMO E LA MOLE - PL.MOSSEN CLAPES,14 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	BONETTI GIUSEPPE DOMENICO	GIUSEPPE DOMENICO BONETTI	000  - GIUSEPPE DOMENICO BONETTI - Avda DIPUTACIÓ 128 C2 BJ - CAMBRILS	CAMBRILS	43850	PARTICULARES
VARIOS	CARLO KURT CAESAR	TUTTI GUSTI	000  - TUTTI GUSTI - RAMBLA DE LA PAU, 11-15 LOCAL 3 - VILANOVA I LA GELTRU	Vilanova I la Gel Tru	08800	PIZZERIA/RESTAURANTE
VARIOS	LA TRATTORIA	LA TRATTORIA	000  - LA TRATTORIA - AV. MONTSERRAT, 3 - TORREDEMBARRA	TORREDEMBARRA	43830	PIZZERIA/RESTAURANTE
VARIOS	EL CAU DE L'IGUANA	EL CAU DE L'IGUANA	000  - EL CAU DE L'IGUANA - AV. JOAN CARLES I, - EMPURIABRAVA	EMPURIABRAVA	17486	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	TADISA TRES SERVEIS S.L.	TADISA TRES SERVEIS S.L.	000  - TADISA TRES SERVEIS S.L. - P.I.ConstantiC/Belgica Nav.A11-11p4 - CONSTANTI	CONSTANTI	43120	DISTRIBUIDOR
VARIOS	RAIMONDO DOMENICA ANTONIO	DA RAIMONDO TRATTORIA	000  - DA RAIMONDO TRATTORIA - C/ PUTXET, 36 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	RESTAURANTE BEJAR, S.L.	RESTAURANT CAN VALLES	000  - RESTAURANT CAN VALLES - C/ ARAGÓ, 95 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA SARDENYA, S.L.	PIZZERIA SARDENYA	000  - PIZZERIA SARDENYA - C/ Llevant, 19 baixos 5 A - ALTAFULLA	ALTAFULLA	43893	PIZZERIA/RESTAURANTE
VARIOS	TRAT. ITALIANA LA PIZZA DI PIERO SL	LA PIZZA DI PIERO	000  - LA PIZZA DI PIERO - Port Esportiu Masnou, 88-89 - MASNOU, EL	MASNOU	08329	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA 1900, S.L.	PIZZERIA 1900 CÀNOVES	000  - PIZZERIA 1900 CÀNOVES - CAMI DE CASTELLAR, S/N - CANOVES	CANOVES	08445	PIZZERIA/RESTAURANTE
VARIOS	GERMANS COMERMA SALA, S.L.	HOTEL ROSA	000  - HOTEL ROSA - PASSEIG SANT GENÍS, 37-39 - TARADELL	TARADELL	08552	HOTEL
VARIOS	KISACHUMO, S.L.	HUERTO DEL CURA	000  - HUERTO DEL CURA - PASSATGE RODOREDA, 13 - Sabadell	Sabadell	08205	PIZZERIA/RESTAURANTE
VARIOS	MELOCOMOYA, S.C.P.	MELOCOMOYA	000  - MELOCOMOYA - C/ PUJADES, 188 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	PESTO SARDO S.L.L.	CONTADINO	000  - CONTADINO - C/ SARAGOSSA, 123 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	RAGOSTA ASSUNTA	RESTAURANT PIZZERIA LA BARCA	000  - RESTAURANT PIZZERIA LA BARCA - POR ESPORTIU,  17-18 - HOSPITALET DE L INFANT, L	HOSPITALET DE L INFANT	43890	PIZZERIA/RESTAURANTE
VARIOS	MAIPENRAY, S.C.P.	BAR INA	000  - BAR INA - C/ CARDERS, 43 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	SUADAS MARTINEZ JORDI	LA XICRA	000  - LA XICRA - Passeig Diagonal, 57 - ARTES	ARTES	08271	PIZZERIA/RESTAURANTE
VARIOS	BAR BACARO, S.L.	BAR BACARO	000  - BAR BACARO - C/ JERUSALEM, 6 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	GARRIGA GENESTÓS PILAR	PILAR GARRIGA GENESTÓS	000  - PILAR GARRIGA GENESTÓS - C/ BUENOS AIRES, 1. 1er.1a - CENTELLES	CENTELLES	08540	PARTICULARES
VARIOS	LÓPEZ VERA ANTONIO	LOPEZ VERA ANTONIO	000  - LOPEZ VERA ANTONIO - Avda. Can Vilaró, 6  4.2 - MONTORNES DEL VALLES	MONTORNES DEL VALLES	08170	PARTICULARES
VARIOS	TONEU PANICOT CRISTINA	TONEU PANICOT CRISTINA	000  - TONEU PANICOT CRISTINA - C/ CANIGÓ, 5 4t 1ª  escala - TORELLO	TORELLO	08570	PARTICULARES
VARIOS	SABBI ALAN	SABBI ALAN	000  - SABBI ALAN - CARRER DE LES JONQUERES, 12 - Barcelona	Barcelona	08006	PARTICULARES
VARIOS	BARALDES PUG JOSEP	PASTISSERIA SANT ANTONI	000  - PASTISSERIA SANT ANTONI - C/ ASENSI, VEGA, 9 - CALDES DE MONTBUI	CALDES DE MONTBUI	08140	PIZZERIA/RESTAURANTE
VARIOS	MARCANDALLI  ROBERTO MARIO	MARCANDALLI ROBERTO	000  - MARCANDALLI ROBERTO - C/ ANGLATERRA, 3 1.2 - CANOVELLES	CANOVELLES	08420	PARTICULARES
VARIOS	DEFERRARI RICCARDO	PIZZERIA SUPERBA	000  - PIZZERIA SUPERBA - PLAÇA SARDÀ I SALVANY - Sabadell	Sabadell	08205	PIZZERIA/RESTAURANTE
VARIOS	CARRARA MASSIMO	MASSIMO CARRARA	000  - MASSIMO CARRARA - CARRER MARINA, 185 PTA PR PTA 03 - Barcelona	Barcelona	08006	PARTICULARES
VARIOS	RUINA MARCO	CIAO CAFE	000  - CIAO CAFE - CARRER LLIBERTAT, 9 - CASTELLDEFELS	CASTELLDEFELS	08860	PIZZERIA/RESTAURANTE
VARIOS	VALLE FIORITA, S.L.	GIO & POSIT	000  - GIO & POSIT - CARRETERA N-II KM 658 - ARENYS DE MAR	ARENYS DE MAR	08350	PIZZERIA/RESTAURANTE
VARIOS	WERTMUT, S.C.P.	WERTMUT, S.C.P	000  - WERTMUT, S.C.P - PLAÇA CAN QUITERIA, 1 - Sant Cugat del Vallés	SANT CUGAT DEL VALLES	08173	PIZZERIA/RESTAURANTE
VARIOS	MARBLANK Y ARJUNA S.L.	LA NOSTRA PASTA	000  - LA NOSTRA PASTA - PLAÇA LLIBERTAT, 12 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	NABUCCO TIRAMISU, S.L.	NABUCCO	000  - NABUCCO - PLAÇA DE LA VILA DE GRÀCIA, 8 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	COOK ITALIA, S.L.	SALE & PEPE	000  - SALE & PEPE - AVINGUDA EGARA, 91 - SANT QUIRZE DEL VALLES	SANT QUIRZE DEL VALLES	08192	PIZZERIA/RESTAURANTE
VARIOS	ITACIA 89, S.L.	PIZZERIA GIUSEPPE	000  - PIZZERIA GIUSEPPE - PG. MARÍTIM SANT JOAN DE DÉU, 44 - CALAFELL	CALAFELL	43820	PIZZERIA/RESTAURANTE
VARIOS	NERINCKX DANIEL MARIE CLAUDE	CAFE BAR PIZZERIA VITO	000  - CAFE BAR PIZZERIA VITO - CAMÍ  SANT ANTONI, 1 - ALTAFULLA	ALTAFULLA	43893	PIZZERIA/RESTAURANTE
VARIOS	FERNANDEZ TENUTTO LEONARDO GASTON	GUST IBERIC	000  - GUST IBERIC - C/ DE LA CREU COBERTA, 93 P 160-161 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	AUTOSERVICIO, S.A.	LA PERLA NERA	000  - LA PERLA NERA - VIA LAIETANA, 32-34 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	TUNDIS VALTER	LO ZIO	000  - LO ZIO - C/ REDING, 32 - Tarragona	Tarragona	43001	PIZZERIA/RESTAURANTE
VARIOS	LA FOCACCIA, SL.	DANTE GORI	000  - DANTE GORI - C/ CASTELLNOU, 44 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	LA PORCHETTA GROUP S.L.	PIADINA	000  - PIADINA - CARRER TORRENT DE L'OLLA, 99 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	AURES MANAGEMENT, S.L.	SIAMO  QUÀ	000  - SIAMO  QUÀ - RAMBLA DEL POBLENOU, 123 LOCAL 9 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	PA ESTACIÓ, S.L.	PA ESTACIÓ, S.L.	000  - PA ESTACIÓ, S.L. - C/ VALLDOREIX, 70 - Sant Cugat del Vallés	SANT CUGAT DEL VALLES	08173	PIZZERIA/RESTAURANTE
VARIOS	NONSOLOGELATI, S.L.	NONSOLOGELATI, S.L	000  - NONSOLOGELATI, S.L - C/ LLIBRETERIA, 7 BAIXOS - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	GRAVIN GIOVANNI PEPE	GRAVIN GIOVANNI PEPE	000  - GRAVIN GIOVANNI PEPE - C/ RERA PALAU, 3 BAIXOS - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	MALAKA PU ISE, S.L.	PIZZERIA FRANCESCO (P.VILAFRANCA)	000  - PIZZERIA FRANCESCO (P.VILAFRANCA) - PASSEIG DE VILAFRANCA, 3 - SITGES	SITGES	08870	PIZZERIA/RESTAURANTE
VARIOS	ROMERO BARTOMEU OSCAR	DE LA VACA A TU CASA	000  - DE LA VACA A TU CASA - C/ DE LA UNIÓ, 147 - Sabadell	Sabadell	08205	PIZZERIA/RESTAURANTE
VARIOS	FETAJ FADIL	ARRABIATA	000  - ARRABIATA - COPERNICO, 75 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	MD LÀCTICS, S.L.	MD LÀCTICS, S.L.	000  - MD LÀCTICS, S.L. - C/  POTASSI, 11 (GASEOSA MALLORCA) - CASTELLBISBAL	CASTELLBISBAL	08755	PIZZERIA/RESTAURANTE
VARIOS	COLOMBO MATTEO	EL PIRATA DEL TORTELLO	000  - EL PIRATA DEL TORTELLO - ED SANIETA BLOC 6 LOCAL A - SANT FRANCESC XAVIER FORMENTERA	FORMENTERA	07860	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA ITALIA DI FILIPPO, S.L.	PIZZERIA ITALIA DI FILIPPO	001  - PIZZERIA ITALIA DI FILIPPO (CASTELLON) - PLAZA DE LA MURALLA LIBERAL, S/N - CASTELLÓN DE LA PLANA	CASTELLÓN DE LA PLANA	12001	DISTRIBUIDOR
VARIOS	MAZINGA-Z, S.L.	VICIOS ITALIANOS	000  - VICIOS ITALIANOS - AVENIDA MAYOR, 138 BAJOS - MASSAMAGRELL	MASSAMAGRELL	46130	PIZZERIA/RESTAURANTE
VARIOS	MORELLI , ANDREA	AQUI QUEDAMOS PIZZERIA BAR	000  - AQUI QUEDAMOS PIZZERIA BAR - VIOLANT D'HONGRIA, 60 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	ANOMILL, S.L.	ART GUST	000  - ART GUST - MERCAT DEL NINOT PARADA 59-60 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	MARIO RINALDI	GLI  ITALIANI	000  - GLI  ITALIANI - C/ TAQUÍGRAF MARTÍ, 7 - Tarragona	Tarragona	43001	PIZZERIA/RESTAURANTE
VARIOS	GALERA RIBERA ALEXANDRA	PIZZERIA SERVI PIZZA	000  - PIZZERIA SERVI PIZZA - CTRA. MIRACLE, 31 - CARDONA	CARDONA	08261	PIZZERIA/RESTAURANTE
VARIOS	MATTEO SCIACCHITANO	MATTEO SCIACCHITANO	000  - MATTEO SCIACCHITANO - TRAVESSIA REVERENT PERE BONASTRE, 6 - LLINARS DEL VALLES	LLINARS DEL VALLES	08450	PARTICULARES
VARIOS	CATCH&RELEVASE, S.L.	PIZZERIA LA NONA	000  - PIZZERIA LA NONA - PASSEIG JOSEP XIFRÉ, 22 - ARENYS DE MAR	ARENYS DE MAR	08350	PIZZERIA/RESTAURANTE
VARIOS	SIGNORE DANIELE	PIZZERIA MO TE MAGNO	000  - PIZZERIA MO TE MAGNO - CARRER PROVENÇA, 16 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	PIAZZE D'ITALIA, S.L.	PIAZZE D'ITALIA	000  - PIAZZE D'ITALIA - C/ CASANOVA, 94 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	LA NOSTRA PIZZA DA RIKI E ALEX, S.L	PIZZA LOCA	000  - PIZZA LOCA - C/ DE LA CREU COBERTA, 64 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	DELIZIE GOURMET ITALIA, S.L.	DELIZIE GOURMET	000  - DELIZIE GOURMET - C/ MAJOR DE SARRIÀ, 43 - Barcelona	Barcelona	08006	TIENDA
VARIOS	MASSIMO VILLAGGI	DALLITALIANO	000  - DALLITALIANO - CARRER MAJOR, 5 - CAMBRILS	CAMBRILS	43850	PIZZERIA/RESTAURANTE
VARIOS	PIZZA C.B.	PIZZERIA MACONDO SANT FERRAN	000  - PIZZERIA MACONDO SANT FERRAN - C/ MAJOR  1 ESQUINA SANT JAUME - SANT FERRAN DE SES ROQUES	SANT FERRAN DE SES ROQUES	07871	PIZZERIA/RESTAURANTE
VARIOS	MARTON ISABELLA	PIZZERIA ANTICA ROMA	000  - PIZZERIA ANTICA ROMA - C/ EDUARD TOLDRÀ, 4-6 - CAMBRILS	CAMBRILS	43850	PIZZERIA/RESTAURANTE
VARIOS	ENJOY COSTA BRAVA, S.L.	MARECHIARO RAMBLA	000  - MARECHIARO RAMBLA - C/ JOSEP SABATÉ I CALDERÓ, 12 - ROSES	ROSES	17480	PIZZERIA/RESTAURANTE
VARIOS	PIZZA D'AUTORE BCN, S.L.	PIZZA D'AUTORE BCN, S.L.	000  - PIZZA D'AUTORE BCN, S.L. - C/ TAMARIT, 142 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	CAMALOTE BCN 2016,S.L.	LA STRADA	000  - LA STRADA - C/ VILA I VILA, 48 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	ALBA ALIAGA JOAN	LA FORMATGERIA DEL GARRAF	000  - LA FORMATGERIA DEL GARRAF - CARRER SANT GERVASI, 36 - VILANOVA I LA GELTRU	Vilanova I la Gel Tru	08800	TIENDA
VARIOS	INCORSO 2016, S.L.	ROMA BELLA	000  - ROMA BELLA - C/ BARCELONA, 24 - Mataró	Mataró	08301	PIZZERIA/RESTAURANTE
MAGATZEM MADRID	VALCOIBERIA,S.L.  MADRID	TRASPASO BARCELONA MADRID	000  - TRASPASO BARCELONA MADRID - CALLE CABO DE FINISTERRE, 9 - ARGANDA DEL REY	Arganda del rey	28500	quitar
VARIOS	TRASPAS MADRID- BARCELONA	TRASPASO   MADRID- BARCELONA	000  - TRASPASO   MADRID- BARCELONA - PRIORA XIXIOLA, 87-91 - GARRIGA, LA	La Garriga	08530	quitar
VARIOS	ALATORTRADE, S.L.	GUSTO RISTORANTE PIZZERIA	000  - GUSTO RISTORANTE PIZZERIA - C/ ROSSELLÓ, 108 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	MARCO STRAGAGNOLO	BUBA'S PIZZERIA RISTORANTE	000  - BUBA'S PIZZERIA RISTORANTE - AV. DEL MAR, 16 - MIAMI-PLATJA	MIAMI-PLATJA	43829	PIZZERIA/RESTAURANTE
VARIOS	IL CUORE ITALIANO W S.L.	IL CUORE	000  - IL CUORE - C/ DE LA PRESÓ , 11 - Reus	Reus	43202	PIZZERIA/RESTAURANTE
VARIOS	PARIENTE ELISABET	ELISABET PARIENTE	000  - ELISABET PARIENTE - CARRER DE LA GARSA, 4B - LLINARS DEL VALLES	LLINARS DEL VALLES	08450	PARTICULARES
VARIOS	FIRST ITALIAN, S.L.	EL ITALIANO	000  - EL ITALIANO - PLAÇA DE LA CORONA, 6 - Granollers	Granollers	08402	PIZZERIA/RESTAURANTE
VARIOS	LA LASTIVA 2004, S.L.	PIZZERIA LA STIVA	000  - PIZZERIA LA STIVA - CARRER SANT PERE, 7 - CAMBRILS	CAMBRILS	43850	PIZZERIA/RESTAURANTE
VARIOS	MALAKA PU ISE, S.L.	PIZZERIA FRANCESCO (LA BOBILA)	000  - PIZZERIA FRANCESCO (LA BOBILA) - CARRER LA BOBILA, 1 LOCAL 2 - SITGES	SITGES	08870	PIZZERIA/RESTAURANTE
VARIOS	PARANDUPIZZA, S.L.	PARANDUPIZZA, S.L.	000  - PARANDUPIZZA, S.L. - PLAÇA AUSIAS MARCH, 1 - Sant Cugat del Vallés	SANT CUGAT DEL VALLES	08173	PIZZERIA/RESTAURANTE
VARIOS	JAVIT ISMAIL	PIZZERIA ROMA	000  - PIZZERIA ROMA - COMTE URGELL, 93 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	STANISLAW PELCZARSKI ADRIAN	RESTAURANTE BARRACUDA	000  - RESTAURANTE BARRACUDA - AVENIDA DE LA PAZ, 6 - Gandía	Gandía	46710	PIZZERIA/RESTAURANTE
VARIOS	EL REBOST DE L'ÀVIA, S.C.P.	EL REBOST DE L'AVIA, S.C.P.	000  - EL REBOST DE L'AVIA, S.C.P. - RIERA SANT MARTÍ, 32 - ARENYS DE MUNT	ARENYS DE MUNT	08358	PIZZERIA/RESTAURANTE
VARIOS	MATARAZZO MICHELE	BAR POLIESPORTIU VANDELLÓS	000  - BAR POLIESPORTIU VANDELLÓS - C/ FLORS, S/N - VANDELLOS	VANDELLOS	43891	PIZZERIA/RESTAURANTE
VARIOS	RUA BARREIRA OLGA	RUA BARREIRA OLGA	000  - RUA BARREIRA OLGA - C/ ANGLATERRA, 3 - CANOVELLES	CANOVELLES	08420	PIZZERIA/RESTAURANTE
VARIOS	GMP FOODIES, S.L.	16	000  - 16 - PLAÇA DEL SOL, 9 BAIXOS - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	GASTRONOMIA MAKKERONI, S.C.P.	MAKKERONI	000  - MAKKERONI - CARRER DE MARIÀ AGUILÓ, 62 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	CACHACA RESTAURANTE, S.L.	CACHACA RESTAURANTE	000  - CACHACA RESTAURANTE - CARRER ATAULF, 5 BAIXOS - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
